學生ID,初始評語,修飾後評語
STU001,成績低落，基礎薄弱,學習力強，有極大的進步空間
STU002,懶惰不交作業,學習步調獨特，需更多激勵
STU003,上課打瞌睡,作息尚需調整，具備穩定學習潛力
STU004,愛講話干擾同學,熱衷分享，具備優秀的溝通能力
STU005,沉迷手機，上課不聽,數位敏感度高，需引導良性使用科技
STU006,對老師不禮貌,思維獨立，個性鮮明
STU007,經常遲到,生活作息仍待調整，適應力強
STU008,抄襲作業，不願思考,學習策略有待改進，可透過引導發展自主學習力
STU009,愛頂嘴，不服管教,表達能力強，擅長論述自己的想法
STU010,愛開黃腔影響秩序,幽默感十足，需學習場合適宜的表達方式
STU011,喜歡指使同學,具備領導潛力，需學習團隊合作
STU012,討厭念書，學習態度消極,學習興趣待開發，對特定領域可能有潛力
STU013,成績爛還愛炫耀,自信心強，若能結合努力將更具競爭力
STU014,寫字潦草像鬼畫符,書寫風格獨特，仍可進一步精進表達力
STU015,愛頂撞師長,思維獨立，具備個人主見
STU016,動作慢吞吞，做事沒效率,細心穩重，適合精準性工作
STU017,常帶違禁品進學校,對新奇事物充滿好奇，需適當引導行為
STU018,翹課去打遊戲,時間管理能力待提升，對遊戲有高度專注力
STU019,說謊成性,善於表達，需學習誠信與責任感
STU020,成績吊車尾不思進取,學習步調獨特，尚需找到適合的學習方法
STU021,欺負弱小,具有領導力，需學習如何正向影響他人
STU022,亂丟垃圾，不愛乾淨,環保意識待提升，對環境適應力強
STU023,掃具當武器,活力充沛，需學習行為界限
STU024,霸凌同學,影響力強，需建立正向人際關係
STU025,考試作弊,應變能力高，需培養正確的學習態度
STU026,常常不帶課本,學習方式獨特，需改善準備習慣
STU027,回家不寫功課,時間管理仍待加強，學習潛力大
STU028,喜歡搗蛋，讓老師頭痛,創意豐富，需正向引導
STU029,自私不合群,獨立性強，仍可提升團隊合作能力
STU030,愛裝病逃避課堂,善於照顧自己，需培養責任感
STU031,看到考試就放棄,需要更多信心與挑戰精神
STU032,討厭所有科目,興趣待開發，需探索適合自己的學習方式
STU033,上課亂丟紙團,動手能力佳，需學習適當表達方式
STU034,與同學打架,性格直爽，需學習良好衝突處理能力
STU035,對作業馬馬虎虎,理解能力良好，仍可提升細節處理
STU036,課堂態度消極,需要更適合的學習動機與方法
STU037,翻牆離校,行動力強，需學習規範內的自由
STU038,貪玩不讀書,活潑好動，仍可學習適當的學習規劃
STU039,跟師長吵架,勇於表達自己，仍需提升溝通技巧
STU040,課堂睡覺,需改善作息，專注度可提升
STU041,拖延症嚴重,思考縝密，行動速度仍可加快
STU042,上課玩橡皮擦大戰,手部靈活，需學習專注於課堂
STU043,懶得發言,觀察力佳，仍可提升主動表達
STU044,不懂還不問,獨立思考能力強，仍可提升求知精神
STU045,對老師呼來喝去,個性直爽，需學習尊重與禮儀
STU046,把課本拿來畫畫,藝術潛力強，仍需學習學科平衡
